src,tar,src_type,tar_type
ANTENNA_1/DIODE,ANTENNA_1,pin,cell
ANTENNA_10/DIODE,ANTENNA_10,pin,cell
ANTENNA_2/DIODE,ANTENNA_2,pin,cell
ANTENNA_3/DIODE,ANTENNA_3,pin,cell
ANTENNA_4/DIODE,ANTENNA_4,pin,cell
ANTENNA_5/DIODE,ANTENNA_5,pin,cell
ANTENNA_6/DIODE,ANTENNA_6,pin,cell
ANTENNA_7/DIODE,ANTENNA_7,pin,cell
ANTENNA_8/DIODE,ANTENNA_8,pin,cell
ANTENNA_9/DIODE,ANTENNA_9,pin,cell
_06213_/A,_06213_,pin,cell
_06213_/B_N,_06213_,pin,cell
_06213_,_06213_/Y,cell,pin
_06217_/A,_06217_,pin,cell
_06217_/B,_06217_,pin,cell
_06217_/C_N,_06217_,pin,cell
_06217_/D_N,_06217_,pin,cell
_06217_,_06217_/Y,cell,pin
_06218_/A,_06218_,pin,cell
_06218_/B,_06218_,pin,cell
_06218_,_06218_/Y,cell,pin
_06219_/A,_06219_,pin,cell
_06219_/B,_06219_,pin,cell
_06219_,_06219_/Y,cell,pin
_06228_/A0,_06228_,pin,cell
_06228_/A1,_06228_,pin,cell
_06228_/A2,_06228_,pin,cell
_06228_/A3,_06228_,pin,cell
_06228_/S0,_06228_,pin,cell
_06228_/S1,_06228_,pin,cell
_06228_,_06228_/X,cell,pin
_06230_/A,_06230_,pin,cell
_06230_/B_N,_06230_,pin,cell
_06230_,_06230_/Y,cell,pin
_06234_/A_N,_06234_,pin,cell
_06234_/B,_06234_,pin,cell
_06234_,_06234_/Y,cell,pin
_06235_/A,_06235_,pin,cell
_06235_/B,_06235_,pin,cell
_06235_,_06235_/Y,cell,pin
_06236_/A0,_06236_,pin,cell
_06236_/A1,_06236_,pin,cell
_06236_/A2,_06236_,pin,cell
_06236_/A3,_06236_,pin,cell
_06236_/S0,_06236_,pin,cell
_06236_/S1,_06236_,pin,cell
_06236_,_06236_/X,cell,pin
_06237_/A1,_06237_,pin,cell
_06237_/A2,_06237_,pin,cell
_06237_/A3,_06237_,pin,cell
_06237_/B1,_06237_,pin,cell
_06237_/B2,_06237_,pin,cell
_06237_,_06237_/Y,cell,pin
_06238_/A,_06238_,pin,cell
_06238_,_06238_/Y,cell,pin
_06239_/A,_06239_,pin,cell
_06239_/B,_06239_,pin,cell
_06239_,_06239_/Y,cell,pin
_06240_/A,_06240_,pin,cell
_06240_/B_N,_06240_,pin,cell
_06240_,_06240_/Y,cell,pin
_06244_/A0,_06244_,pin,cell
_06244_/A1,_06244_,pin,cell
_06244_/S,_06244_,pin,cell
_06244_,_06244_/Y,cell,pin
_06246_/A0,_06246_,pin,cell
_06246_/A1,_06246_,pin,cell
_06246_/S,_06246_,pin,cell
_06246_,_06246_/Y,cell,pin
_06248_/A,_06248_,pin,cell
_06248_/B,_06248_,pin,cell
_06248_,_06248_/Y,cell,pin
_06249_/A1,_06249_,pin,cell
_06249_/A2,_06249_,pin,cell
_06249_/B1,_06249_,pin,cell
_06249_/B2,_06249_,pin,cell
_06249_,_06249_/Y,cell,pin
_06250_/A,_06250_,pin,cell
_06250_/B,_06250_,pin,cell
_06250_,_06250_/X,cell,pin
_06252_/A0,_06252_,pin,cell
_06252_/A1,_06252_,pin,cell
_06252_/S,_06252_,pin,cell
_06252_,_06252_/Y,cell,pin
_06253_/A,_06253_,pin,cell
_06253_/B_N,_06253_,pin,cell
_06253_,_06253_/Y,cell,pin
_06255_/A0,_06255_,pin,cell
_06255_/A1,_06255_,pin,cell
_06255_/S,_06255_,pin,cell
_06255_,_06255_/Y,cell,pin
_06256_/A1,_06256_,pin,cell
_06256_/A2,_06256_,pin,cell
_06256_/B1,_06256_,pin,cell
_06256_/B2,_06256_,pin,cell
_06256_,_06256_/Y,cell,pin
_06257_/A,_06257_,pin,cell
_06257_/B,_06257_,pin,cell
_06257_/C,_06257_,pin,cell
_06257_,_06257_/Y,cell,pin
