cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
ANTENNA_1,0,0,0,252540,353600,253460,356320,0,0,0,sky130_fd_sc_hd__diode_2,6.290492723882903e-15,-1.8872202189603988e-18
ANTENNA_10,0,0,0,266800,2720,267720,5440,0,0,0,sky130_fd_sc_hd__diode_2,6.7685056032705006e-15,8.209866564357071e-08
ANTENNA_2,0,0,0,202400,182240,203320,184960,0,0,0,sky130_fd_sc_hd__diode_2,7.872106524314023e-15,-2.3236762272109277e-19
ANTENNA_3,0,0,0,276000,111520,276920,114240,0,0,0,sky130_fd_sc_hd__diode_2,8.555075965948743e-15,-6.687158648474425e-19
ANTENNA_4,0,0,0,366620,190400,367540,193120,0,0,0,sky130_fd_sc_hd__diode_2,3.5509730260938933e-15,-1.9033088438646928e-09
ANTENNA_5,0,0,0,253460,304640,254380,307360,0,0,0,sky130_fd_sc_hd__diode_2,8.638950015418811e-15,1.7796030906890607e-19
ANTENNA_6,0,0,0,254840,310080,255760,312800,0,0,0,sky130_fd_sc_hd__diode_2,4.804734253960764e-15,-2.3102030059960874e-19
ANTENNA_7,0,0,0,259440,307360,260360,310080,0,0,0,sky130_fd_sc_hd__diode_2,4.804734253960764e-15,-2.310361721276121e-19
ANTENNA_8,0,0,0,277380,247520,278300,250240,0,0,0,sky130_fd_sc_hd__diode_2,7.350489235834722e-15,-1.226764023698479e-08
ANTENNA_9,0,0,0,357880,359040,358800,361760,0,0,0,sky130_fd_sc_hd__diode_2,3.3031159391342345e-15,-6.596064139330338e-08
FILLER_0_0_0,0,0,0,1380,2720,5060,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_121,0,0,0,57040,2720,58880,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_125,0,0,0,58880,2720,59800,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_127,0,0,0,59800,2720,60260,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_151,0,0,0,70840,2720,74520,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_159,0,0,0,74520,2720,78200,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_16,0,0,0,8740,2720,12420,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_167,0,0,0,78200,2720,81880,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_175,0,0,0,81880,2720,83720,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_179,0,0,0,83720,2720,84180,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_181,0,0,0,84640,2720,88320,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_189,0,0,0,88320,2720,92000,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_197,0,0,0,92000,2720,92920,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_199,0,0,0,92920,2720,93380,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_203,0,0,0,94760,2720,96600,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_207,0,0,0,96600,2720,97520,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_209,0,0,0,97520,2720,97980,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_211,0,0,0,98440,2720,102120,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_219,0,0,0,102120,2720,105800,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_227,0,0,0,105800,2720,109480,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_235,0,0,0,109480,2720,111320,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_239,0,0,0,111320,2720,111780,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_24,0,0,0,12420,2720,14260,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_241,0,0,0,112240,2720,115920,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_249,0,0,0,115920,2720,119600,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_257,0,0,0,119600,2720,123280,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_265,0,0,0,123280,2720,125120,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_269,0,0,0,125120,2720,125580,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_271,0,0,0,126040,2720,129720,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_279,0,0,0,129720,2720,133400,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_28,0,0,0,14260,2720,15180,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_287,0,0,0,133400,2720,137080,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_295,0,0,0,137080,2720,138920,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_299,0,0,0,138920,2720,139380,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_301,0,0,0,139840,2720,143520,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_309,0,0,0,143520,2720,143980,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_31,0,0,0,15640,2720,19320,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_326,0,0,0,151340,2720,153180,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_331,0,0,0,153640,2720,157320,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_339,0,0,0,157320,2720,161000,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_347,0,0,0,161000,2720,164680,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_355,0,0,0,164680,2720,166520,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_359,0,0,0,166520,2720,166980,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_361,0,0,0,167440,2720,171120,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_369,0,0,0,171120,2720,174800,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_377,0,0,0,174800,2720,178480,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_385,0,0,0,178480,2720,180320,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_389,0,0,0,180320,2720,180780,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_39,0,0,0,19320,2720,23000,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_391,0,0,0,181240,2720,184920,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_399,0,0,0,184920,2720,188600,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_407,0,0,0,188600,2720,192280,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_415,0,0,0,192280,2720,194120,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_419,0,0,0,194120,2720,194580,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
