src,tar,src_type,tar_type
output66/X,aluout[0],pin,net
output67/X,aluout[10],pin,net
output68/X,aluout[11],pin,net
output69/X,aluout[12],pin,net
output70/X,aluout[13],pin,net
output71/X,aluout[14],pin,net
output72/X,aluout[15],pin,net
output73/X,aluout[16],pin,net
output74/X,aluout[17],pin,net
output75/X,aluout[18],pin,net
output76/X,aluout[19],pin,net
output77/X,aluout[1],pin,net
output78/X,aluout[20],pin,net
output79/X,aluout[21],pin,net
output80/X,aluout[22],pin,net
output81/X,aluout[23],pin,net
output82/X,aluout[24],pin,net
output83/X,aluout[25],pin,net
output84/X,aluout[26],pin,net
output85/X,aluout[27],pin,net
output86/X,aluout[28],pin,net
output87/X,aluout[29],pin,net
output88/X,aluout[2],pin,net
output89/X,aluout[30],pin,net
output90/X,aluout[31],pin,net
output91/X,aluout[3],pin,net
output92/X,aluout[4],pin,net
output93/X,aluout[5],pin,net
output94/X,aluout[6],pin,net
output95/X,aluout[7],pin,net
output96/X,aluout[8],pin,net
output97/X,aluout[9],pin,net
clk,clkbuf_0_clk/A,net,pin
instr[0],input1/A,net,pin
instr[10],input2/A,net,pin
instr[11],input3/A,net,pin
instr[12],input4/A,net,pin
instr[13],input5/A,net,pin
instr[14],input6/A,net,pin
instr[15],input7/A,net,pin
instr[16],input8/A,net,pin
instr[17],input9/A,net,pin
instr[18],input10/A,net,pin
instr[19],input11/A,net,pin
instr[1],input12/A,net,pin
instr[20],input13/A,net,pin
instr[21],input14/A,net,pin
instr[22],input15/A,net,pin
instr[23],input16/A,net,pin
instr[24],input17/A,net,pin
instr[25],input18/A,net,pin
instr[26],input19/A,net,pin
instr[27],input20/A,net,pin
instr[28],input21/A,net,pin
instr[29],input22/A,net,pin
instr[2],input23/A,net,pin
instr[30],input24/A,net,pin
instr[31],input25/A,net,pin
instr[3],input26/A,net,pin
instr[4],input27/A,net,pin
instr[5],input28/A,net,pin
instr[6],input29/A,net,pin
instr[7],input30/A,net,pin
instr[8],input31/A,net,pin
instr[9],input32/A,net,pin
output98/X,memread,pin,net
output99/X,memwrite,pin,net
output100/X,pc[0],pin,net
output101/X,pc[10],pin,net
output102/X,pc[11],pin,net
output103/X,pc[12],pin,net
output104/X,pc[13],pin,net
output105/X,pc[14],pin,net
output106/X,pc[15],pin,net
output107/X,pc[16],pin,net
output108/X,pc[17],pin,net
output109/X,pc[18],pin,net
output110/X,pc[19],pin,net
output111/X,pc[1],pin,net
output112/X,pc[20],pin,net
output113/X,pc[21],pin,net
output114/X,pc[22],pin,net
output115/X,pc[23],pin,net
output116/X,pc[24],pin,net
output117/X,pc[25],pin,net
output118/X,pc[26],pin,net
output119/X,pc[27],pin,net
output120/X,pc[28],pin,net
output121/X,pc[29],pin,net
output122/X,pc[2],pin,net
output123/X,pc[30],pin,net
output124/X,pc[31],pin,net
output125/X,pc[3],pin,net
output126/X,pc[4],pin,net
output127/X,pc[5],pin,net
output128/X,pc[6],pin,net
output129/X,pc[7],pin,net
output130/X,pc[8],pin,net
output131/X,pc[9],pin,net
readdata[0],input33/A,net,pin
readdata[10],input34/A,net,pin
readdata[11],input35/A,net,pin
readdata[12],input36/A,net,pin
readdata[13],input37/A,net,pin
readdata[14],input38/A,net,pin
readdata[15],input39/A,net,pin
readdata[16],input40/A,net,pin
readdata[17],input41/A,net,pin
readdata[18],input42/A,net,pin
readdata[19],input43/A,net,pin
readdata[1],input44/A,net,pin
readdata[20],input45/A,net,pin
readdata[21],input46/A,net,pin
readdata[22],input47/A,net,pin
readdata[23],input48/A,net,pin
readdata[24],input49/A,net,pin
readdata[25],input50/A,net,pin
readdata[26],input51/A,net,pin
readdata[27],input52/A,net,pin
readdata[28],input53/A,net,pin
readdata[29],input54/A,net,pin
readdata[2],input55/A,net,pin
readdata[30],input56/A,net,pin
readdata[31],input57/A,net,pin
readdata[3],input58/A,net,pin
readdata[4],input59/A,net,pin
readdata[5],input60/A,net,pin
readdata[6],input61/A,net,pin
readdata[7],input62/A,net,pin
readdata[8],input63/A,net,pin
readdata[9],input64/A,net,pin
reset,input65/A,net,pin
output132/X,suspend,pin,net
output133/X,writedata[0],pin,net
output134/X,writedata[10],pin,net
output135/X,writedata[11],pin,net
output136/X,writedata[12],pin,net
output137/X,writedata[13],pin,net
output138/X,writedata[14],pin,net
output139/X,writedata[15],pin,net
output140/X,writedata[16],pin,net
output141/X,writedata[17],pin,net
output142/X,writedata[18],pin,net
output143/X,writedata[19],pin,net
output144/X,writedata[1],pin,net
output145/X,writedata[20],pin,net
output146/X,writedata[21],pin,net
output147/X,writedata[22],pin,net
output148/X,writedata[23],pin,net
output149/X,writedata[24],pin,net
output150/X,writedata[25],pin,net
output151/X,writedata[26],pin,net
output152/X,writedata[27],pin,net
output153/X,writedata[28],pin,net
output154/X,writedata[29],pin,net
output155/X,writedata[2],pin,net
output156/X,writedata[30],pin,net
output157/X,writedata[31],pin,net
output158/X,writedata[3],pin,net
output159/X,writedata[4],pin,net
output160/X,writedata[5],pin,net
output161/X,writedata[6],pin,net
output162/X,writedata[7],pin,net
output163/X,writedata[8],pin,net
output164/X,writedata[9],pin,net
_00000_,dp.pcreg.q\[9\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[8\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[7\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[6\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[5\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[4\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[3\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[31\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[30\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[2\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[29\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[28\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[27\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[26\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[25\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[24\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[23\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[22\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[21\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[20\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[1\]$_DFFE_PP0P_/RESET_B,net,pin
_00000_,dp.pcreg.q\[19\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[18\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[17\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[16\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[15\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[14\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[13\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[12\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[11\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[10\]$_DFF_PP0_/RESET_B,net,pin
_00000_,dp.pcreg.q\[0\]$_DFFE_PP0P_/RESET_B,net,pin
_09197_/Y,_00000_,pin,net
_00001_,dp.pcreg.q\[0\]$_DFFE_PP0P_/D,net,pin
_09427_/X,_00001_,pin,net
_00002_,dp.pcreg.q\[1\]$_DFFE_PP0P_/D,net,pin
_09430_/Y,_00002_,pin,net
_00035_,dp.rf.rf\[10\]\[0\]$_DFFE_PP_/D,net,pin
_09486_/Y,_00035_,pin,net
_00036_,dp.rf.rf\[10\]\[10\]$_DFFE_PP_/D,net,pin
_09517_/Y,_00036_,pin,net
_00037_,dp.rf.rf\[10\]\[11\]$_DFFE_PP_/D,net,pin
_09553_/Y,_00037_,pin,net
_00038_,dp.rf.rf\[10\]\[12\]$_DFFE_PP_/D,net,pin
_09565_/Y,_00038_,pin,net
_00039_,dp.rf.rf\[10\]\[13\]$_DFFE_PP_/D,net,pin
_09581_/Y,_00039_,pin,net
_00040_,dp.rf.rf\[10\]\[14\]$_DFFE_PP_/D,net,pin
_09602_/Y,_00040_,pin,net
_00041_,dp.rf.rf\[10\]\[15\]$_DFFE_PP_/D,net,pin
_09625_/Y,_00041_,pin,net
_00042_,dp.rf.rf\[10\]\[16\]$_DFFE_PP_/D,net,pin
_09647_/Y,_00042_,pin,net
_00043_,dp.rf.rf\[10\]\[17\]$_DFFE_PP_/D,net,pin
_09660_/Y,_00043_,pin,net
_00044_,dp.rf.rf\[10\]\[18\]$_DFFE_PP_/D,net,pin
_09676_/Y,_00044_,pin,net
_00045_,dp.rf.rf\[10\]\[19\]$_DFFE_PP_/D,net,pin
_09689_/Y,_00045_,pin,net
_00046_,dp.rf.rf\[10\]\[1\]$_DFFE_PP_/D,net,pin
_09696_/Y,_00046_,pin,net
_00047_,dp.rf.rf\[10\]\[20\]$_DFFE_PP_/D,net,pin
_09711_/Y,_00047_,pin,net
_00048_,dp.rf.rf\[10\]\[21\]$_DFFE_PP_/D,net,pin
_09729_/Y,_00048_,pin,net
_00049_,dp.rf.rf\[10\]\[22\]$_DFFE_PP_/D,net,pin
_09742_/Y,_00049_,pin,net
_00050_,dp.rf.rf\[10\]\[23\]$_DFFE_PP_/D,net,pin
_09755_/X,_00050_,pin,net
_00051_,dp.rf.rf\[10\]\[24\]$_DFFE_PP_/D,net,pin
_09773_/Y,_00051_,pin,net
_00052_,dp.rf.rf\[10\]\[25\]$_DFFE_PP_/D,net,pin
_09791_/Y,_00052_,pin,net
_00053_,dp.rf.rf\[10\]\[26\]$_DFFE_PP_/D,net,pin
_09804_/Y,_00053_,pin,net
_00054_,dp.rf.rf\[10\]\[27\]$_DFFE_PP_/D,net,pin
_09816_/Y,_00054_,pin,net
_00055_,dp.rf.rf\[10\]\[28\]$_DFFE_PP_/D,net,pin
_09836_/Y,_00055_,pin,net
_00056_,dp.rf.rf\[10\]\[29\]$_DFFE_PP_/D,net,pin
_09854_/Y,_00056_,pin,net
_00057_,dp.rf.rf\[10\]\[2\]$_DFFE_PP_/D,net,pin
_09862_/Y,_00057_,pin,net
_00058_,dp.rf.rf\[10\]\[30\]$_DFFE_PP_/D,net,pin
_09880_/Y,_00058_,pin,net
_00059_,dp.rf.rf\[10\]\[31\]$_DFFE_PP_/D,net,pin
_09910_/Y,_00059_,pin,net
_00060_,dp.rf.rf\[10\]\[3\]$_DFFE_PP_/D,net,pin
_09917_/Y,_00060_,pin,net
_00061_,dp.rf.rf\[10\]\[4\]$_DFFE_PP_/D,net,pin
_09926_/Y,_00061_,pin,net
_00062_,dp.rf.rf\[10\]\[5\]$_DFFE_PP_/D,net,pin
