src,tar,src_type,tar_type,is_net,arc_delay
_06213_/A,_06213_/Y,pin,pin,0,2.812289845444127e-10
_06213_/B_N,_06213_/Y,pin,pin,0,3.3482222550063057e-10
_06217_/A,_06217_/Y,pin,pin,0,7.09390490793993e-10
_06217_/B,_06217_/Y,pin,pin,0,7.157850423489265e-10
_06217_/C_N,_06217_/Y,pin,pin,0,7.448685557243095e-10
_06217_/D_N,_06217_/Y,pin,pin,0,6.543362518485196e-10
_06218_/A,_06218_/Y,pin,pin,0,1.7536007368423867e-10
_06218_/B,_06218_/Y,pin,pin,0,2.0908780262729465e-10
_06219_/A,_06219_/Y,pin,pin,0,1.1112639280996817e-10
_06219_/B,_06219_/Y,pin,pin,0,1.3184785208064653e-10
_06228_/A0,_06228_/X,pin,pin,0,5.505372824288202e-10
_06228_/A1,_06228_/X,pin,pin,0,5.646778600265634e-10
_06228_/A2,_06228_/X,pin,pin,0,5.476192832531979e-10
_06228_/A3,_06228_/X,pin,pin,0,5.346202924805254e-10
_06228_/S0,_06228_/X,pin,pin,0,6.90911494682922e-10
_06228_/S1,_06228_/X,pin,pin,0,4.3879513911271317e-10
_06230_/A,_06230_/Y,pin,pin,0,7.69142971535075e-10
_06230_/B_N,_06230_/Y,pin,pin,0,8.237104887065527e-10
_06234_/A_N,_06234_/Y,pin,pin,0,3.6081851395586284e-10
_06234_/B,_06234_/Y,pin,pin,0,3.3348174222069815e-10
_06235_/A,_06235_/Y,pin,pin,0,2.514039254553069e-10
_06235_/B,_06235_/Y,pin,pin,0,2.443232283155794e-10
_06236_/A0,_06236_/X,pin,pin,0,5.112842371701731e-10
_06236_/A1,_06236_/X,pin,pin,0,5.095174837599359e-10
_06236_/A2,_06236_/X,pin,pin,0,5.179641160424353e-10
_06236_/A3,_06236_/X,pin,pin,0,5.278075754233669e-10
_06236_/S0,_06236_/X,pin,pin,0,6.352687820232461e-10
_06236_/S1,_06236_/X,pin,pin,0,4.3194597898477127e-10
_06237_/A1,_06237_/Y,pin,pin,0,3.348566979255452e-10
_06237_/A2,_06237_/Y,pin,pin,0,2.9024166403601726e-10
_06237_/A3,_06237_/Y,pin,pin,0,3.4373726087721934e-10
_06237_/B1,_06237_/Y,pin,pin,0,2.2369250896048243e-10
