,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
0,_297_/A,_297_/Y,pin,pin,0,1.8227865397624218e-11,0,1,0,1,A,Y,_297_,BUFx6f_ASAP7_75t_R
1,_298_/A,_298_/Y,pin,pin,0,1.4210745427623016e-11,2,3,2,3,A,Y,_298_,INVx1_ASAP7_75t_R
2,_299_/A,_299_/Y,pin,pin,0,2.09839489534458e-11,4,5,4,5,A,Y,_299_,BUFx4f_ASAP7_75t_R
3,_300_/A,_300_/Y,pin,pin,0,1.319324424015056e-11,6,7,6,7,A,Y,_300_,INVx2_ASAP7_75t_R
4,_301_/A,_301_/Y,pin,pin,0,1.5722428567399582e-11,8,9,8,9,A,Y,_301_,INVx1_ASAP7_75t_R
5,_302_/A,_302_/Y,pin,pin,0,1.612340642942467e-11,10,12,10,12,A,Y,_302_,AND2x2_ASAP7_75t_R
6,_302_/B,_302_/Y,pin,pin,0,1.870256206848442e-11,11,12,11,12,B,Y,_302_,AND2x2_ASAP7_75t_R
7,_303_/A,_303_/Y,pin,pin,0,3.812299087524451e-11,13,15,13,15,A,Y,_303_,OR2x2_ASAP7_75t_R
8,_303_/B,_303_/Y,pin,pin,0,3.3619634853820906e-11,14,15,14,15,B,Y,_303_,OR2x2_ASAP7_75t_R
9,_304_/A,_304_/Y,pin,pin,0,2.2268579341622182e-11,16,17,16,17,A,Y,_304_,BUFx3_ASAP7_75t_R
10,_305_/A1,_305_/Y,pin,pin,0,2.687178778104649e-11,18,21,18,21,A1,Y,_305_,OA21x2_ASAP7_75t_R
11,_305_/A2,_305_/Y,pin,pin,0,2.019142145148756e-11,19,21,19,21,A2,Y,_305_,OA21x2_ASAP7_75t_R
12,_305_/B,_305_/Y,pin,pin,0,2.193478211565125e-11,20,21,20,21,B,Y,_305_,OA21x2_ASAP7_75t_R
13,_306_/A1,_306_/Y,pin,pin,0,2.4469084744516145e-11,22,25,22,25,A1,Y,_306_,OA21x2_ASAP7_75t_R
14,_306_/A2,_306_/Y,pin,pin,0,3.2508572223033376e-11,23,25,23,25,A2,Y,_306_,OA21x2_ASAP7_75t_R
15,_306_/B,_306_/Y,pin,pin,0,2.156226065752609e-11,24,25,24,25,B,Y,_306_,OA21x2_ASAP7_75t_R
16,_307_/A1,_307_/Y,pin,pin,0,2.1121873347573758e-11,26,29,26,29,A1,Y,_307_,OA21x2_ASAP7_75t_R
17,_307_/A2,_307_/Y,pin,pin,0,2.045789405935583e-11,27,29,27,29,A2,Y,_307_,OA21x2_ASAP7_75t_R
18,_307_/B,_307_/Y,pin,pin,0,2.0603213579661883e-11,28,29,28,29,B,Y,_307_,OA21x2_ASAP7_75t_R
19,_308_/A,_308_/Y,pin,pin,0,1.1609006290991264e-11,30,31,30,31,A,Y,_308_,INVx1_ASAP7_75t_R
20,_309_/A1,_309_/Y,pin,pin,0,2.08842405174936e-11,32,35,32,35,A1,Y,_309_,OA21x2_ASAP7_75t_R
21,_309_/A2,_309_/Y,pin,pin,0,2.1811009595640307e-11,33,35,33,35,A2,Y,_309_,OA21x2_ASAP7_75t_R
22,_309_/B,_309_/Y,pin,pin,0,2.382191492678043e-11,34,35,34,35,B,Y,_309_,OA21x2_ASAP7_75t_R
23,_310_/A,_310_/Y,pin,pin,0,2.5651538185234024e-11,36,39,36,39,A,Y,_310_,OR3x1_ASAP7_75t_R
24,_310_/B,_310_/Y,pin,pin,0,2.7074023578599334e-11,37,39,37,39,B,Y,_310_,OR3x1_ASAP7_75t_R
25,_310_/C,_310_/Y,pin,pin,0,3.4899166889701405e-11,38,39,38,39,C,Y,_310_,OR3x1_ASAP7_75t_R
26,_311_/A1,_311_/Y,pin,pin,0,2.1014304879551915e-11,40,43,40,43,A1,Y,_311_,OA21x2_ASAP7_75t_R
27,_311_/A2,_311_/Y,pin,pin,0,2.5883621634914533e-11,41,43,41,43,A2,Y,_311_,OA21x2_ASAP7_75t_R
28,_311_/B,_311_/Y,pin,pin,0,2.251741675063368e-11,42,43,42,43,B,Y,_311_,OA21x2_ASAP7_75t_R
29,_312_/A1,_312_/Y,pin,pin,0,2.583779717957313e-11,44,47,44,47,A1,Y,_312_,OA21x2_ASAP7_75t_R
30,_312_/A2,_312_/Y,pin,pin,0,2.0645329196211648e-11,45,47,45,47,A2,Y,_312_,OA21x2_ASAP7_75t_R
31,_312_/B,_312_/Y,pin,pin,0,2.2120650797208263e-11,46,47,46,47,B,Y,_312_,OA21x2_ASAP7_75t_R
32,_313_/A1,_313_/Y,pin,pin,0,2.3105200044892804e-11,48,51,48,51,A1,Y,_313_,OA21x2_ASAP7_75t_R
33,_313_/A2,_313_/Y,pin,pin,0,2.495141593339412e-11,49,51,49,51,A2,Y,_313_,OA21x2_ASAP7_75t_R
34,_313_/B,_313_/Y,pin,pin,0,2.2166166471770943e-11,50,51,50,51,B,Y,_313_,OA21x2_ASAP7_75t_R
35,_314_/A,_314_/Y,pin,pin,0,2.1003246017392563e-11,52,53,52,53,A,Y,_314_,BUFx4f_ASAP7_75t_R
36,_315_/A,_315_/Y,pin,pin,0,1.919107234238382e-11,54,55,54,55,A,Y,_315_,BUFx6f_ASAP7_75t_R
37,_316_/A,_316_/Y,pin,pin,0,2.7306623975875688e-11,56,59,56,59,A,Y,_316_,OR3x1_ASAP7_75t_R
38,_316_/B,_316_/Y,pin,pin,0,2.9094532338902468e-11,57,59,57,59,B,Y,_316_,OR3x1_ASAP7_75t_R
39,_316_/C,_316_/Y,pin,pin,0,2.9297331921585006e-11,58,59,58,59,C,Y,_316_,OR3x1_ASAP7_75t_R
40,_317_/A,_317_/Y,pin,pin,0,2.9680927854380805e-11,60,64,60,64,A,Y,_317_,OR4x1_ASAP7_75t_R
41,_317_/B,_317_/Y,pin,pin,0,3.3425318068935894e-11,61,64,61,64,B,Y,_317_,OR4x1_ASAP7_75t_R
42,_317_/C,_317_/Y,pin,pin,0,3.411743110248722e-11,62,64,62,64,C,Y,_317_,OR4x1_ASAP7_75t_R
43,_317_/D,_317_/Y,pin,pin,0,3.6167947109477794e-11,63,64,63,64,D,Y,_317_,OR4x1_ASAP7_75t_R
44,_318_/A,_318_/Y,pin,pin,0,2.09327589983932e-11,65,67,65,67,A,Y,_318_,OR2x2_ASAP7_75t_R
45,_318_/B,_318_/Y,pin,pin,0,2.1443315872948787e-11,66,67,66,67,B,Y,_318_,OR2x2_ASAP7_75t_R
46,_319_/A1,_319_/Y,pin,pin,0,2.590182755779491e-11,68,71,68,71,A1,Y,_319_,OA21x2_ASAP7_75t_R
47,_319_/A2,_319_/Y,pin,pin,0,1.8226694459277937e-11,69,71,69,71,A2,Y,_319_,OA21x2_ASAP7_75t_R
48,_319_/B,_319_/Y,pin,pin,0,2.352104101766006e-11,70,71,70,71,B,Y,_319_,OA21x2_ASAP7_75t_R
49,_320_/A1,_320_/Y,pin,pin,0,2.291229185547028e-11,72,75,72,75,A1,Y,_320_,OA21x2_ASAP7_75t_R
50,_320_/A2,_320_/Y,pin,pin,0,1.9262026001998223e-11,73,75,73,75,A2,Y,_320_,OA21x2_ASAP7_75t_R
51,_320_/B,_320_/Y,pin,pin,0,2.1094905336416222e-11,74,75,74,75,B,Y,_320_,OA21x2_ASAP7_75t_R
